run_id,budget,call_idx,action_type,eligible_count
hcr_H1_b100,100,65,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,66,DISCOVER_CORE,32
hcr_H1_b100,100,66,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,67,DISCOVER_CORE,31
hcr_H1_b100,100,67,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,68,DISCOVER_CORE,30
hcr_H1_b100,100,68,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,69,DISCOVER_CORE,30
hcr_H1_b100,100,69,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,70,DISCOVER_CORE,29
hcr_H1_b100,100,70,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,71,DISCOVER_CORE,29
hcr_H1_b100,100,71,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,72,DISCOVER_CORE,28
hcr_H1_b100,100,72,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,73,DISCOVER_CORE,27
hcr_H1_b100,100,73,EXPLORE_UNCOVERED,25
