replicate,metric,median,mean
50,delta_F1,-0.00326530612244895,-0.0033074576631999335
50,delta_EventRecall,0.0,-0.0015135789655768917
50,delta_AnytimeAUC,-0.0019037036511618532,-0.002223912852350282
51,delta_F1,0.0,0.0029601155530705587
51,delta_EventRecall,0.0,0.004545454545454542
51,delta_AnytimeAUC,0.005286363539346306,0.0015796684577719332
52,delta_F1,0.0138047138047138,0.012039343203726759
52,delta_EventRecall,0.0121951219512195,0.010643015521064293
52,delta_AnytimeAUC,0.010537877260575562,0.01005067229609754
53,delta_F1,0.0069023569023569,0.011486322862709035
53,delta_EventRecall,0.00609756097560975,0.011123429416112334
53,delta_AnytimeAUC,0.011597576643579549,0.008042030554988344
54,delta_F1,0.0069023569023569,0.00865012219545814
54,delta_EventRecall,0.00609756097560975,0.008610495195861042
54,delta_AnytimeAUC,0.007912120399960934,0.005726862095017739
55,delta_F1,0.0138047138047138,0.014875543870977649
55,delta_EventRecall,0.0121951219512195,0.013155949741315584
55,delta_AnytimeAUC,0.011597576643579549,0.011313971905362605
56,delta_F1,0.0,-0.0011305869149006336
56,delta_EventRecall,0.0,-0.0015135789655768917
56,delta_AnytimeAUC,0.011067726952077556,0.005725071826771779
57,delta_F1,0.0,0.0001239148858196669
57,delta_EventRecall,0.0,0.00203252032520325
57,delta_AnytimeAUC,0.005286363539346306,0.0013682376992124091
58,delta_F1,0.0,0.0034112275047005155
58,delta_EventRecall,0.0,0.0019987105093488004
58,delta_AnytimeAUC,0.008441970091462928,0.0013272973777885971
59,delta_F1,0.0036370507799079505,-0.0010488235698319498
59,delta_EventRecall,0.00609756097560975,-0.0009946376059505333
59,delta_AnytimeAUC,0.0007220532094527748,-0.0016688697666671682
60,delta_F1,-0.0065306122448979,-0.003902629544968642
60,delta_EventRecall,0.0,-0.0025467440361057418
60,delta_AnytimeAUC,-0.009093770841670012,-0.004552763794647909
61,delta_F1,0.0069023569023569,0.0075616868213084915
61,delta_EventRecall,0.00609756097560975,0.008610495195861042
61,delta_AnytimeAUC,0.010537877260575562,0.004382041882220559
62,delta_F1,-0.0065306122448979,-0.0090396158463385
62,delta_EventRecall,0.0,-0.0070921985815602835
62,delta_AnytimeAUC,-0.009093770841670012,-0.005639446840078975
63,delta_F1,0.0,0.005754164679570466
63,delta_EventRecall,0.0,0.005544809800128943
63,delta_AnytimeAUC,0.008441970091462928,0.0025227588658485686
64,delta_F1,-0.00326530612244895,0.004172465813039875
64,delta_EventRecall,0.0,0.006577974870657792
64,delta_AnytimeAUC,-0.0019037036511618532,5.823168114075609e-05
65,delta_F1,0.0,-0.0010884353741496499
65,delta_EventRecall,0.0,0.0
65,delta_AnytimeAUC,0.011597576643579549,0.007097149878665748
66,delta_F1,0.0069023569023569,3.961180431769941e-05
66,delta_EventRecall,0.00609756097560975,-0.0009946376059505326
66,delta_AnytimeAUC,0.010537877260575562,0.001779688147541092
67,delta_F1,-0.00326530612244895,-0.0005134085367000258
67,delta_EventRecall,0.0,-0.0005142237109024913
67,delta_AnytimeAUC,-0.0019037036511618532,-0.002332691294979187
68,delta_F1,0.0069023569023569,0.00865012219545814
68,delta_EventRecall,0.00609756097560975,0.008610495195861042
68,delta_AnytimeAUC,0.010537877260575562,0.0067787309457232785
69,delta_F1,0.0,0.006842600053720116
69,delta_EventRecall,0.0,0.005544809800128943
69,delta_AnytimeAUC,0.011597576643579549,0.00702318563076237
70,delta_F1,0.0069023569023569,0.008054950313689432
70,delta_EventRecall,0.00609756097560975,0.007577330125332192
70,delta_AnytimeAUC,0.011067726952077556,0.0033980111527201116
71,delta_F1,0.0036370507799079505,0.004623577764669832
71,delta_EventRecall,0.00609756097560975,0.00403123083455205
71,delta_AnytimeAUC,0.0007220532094527748,-0.0012460082495481205
72,delta_F1,0.0,0.0029601155530705587
72,delta_EventRecall,0.0,0.004545454545454542
72,delta_AnytimeAUC,0.005286363539346306,0.0015796684577719332
73,delta_F1,0.0,0.0063493365613391745
73,delta_EventRecall,0.0,0.006577974870657792
73,delta_AnytimeAUC,0.007912120399960934,0.005903478658851736
74,delta_F1,-0.00326530612244895,-0.0005134085367000258
74,delta_EventRecall,0.0,-0.0005142237109024913
74,delta_AnytimeAUC,-0.0019037036511618532,-0.002332691294979187
75,delta_F1,0.0138047138047138,0.013744956956077017
75,delta_EventRecall,0.0121951219512195,0.011642370775738693
75,delta_AnytimeAUC,0.010537877260575562,0.006493335939260376
76,delta_F1,-0.00326530612244895,-0.002814194170818992
76,delta_EventRecall,0.0,-0.0025467440361057418
